127.0.0.1 - - [23/Jul/2017:15:58:50 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:05:24 +0530] "GET /frontend_project2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:05:24 +0530] "GET /frontend_project2/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:05:25 +0530] "GET /frontend_project2/service/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:05:25 +0530] "GET /frontend_project2/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:05:25 +0530] "GET /frontend_project2/controller/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:05:25 +0530] "GET /frontend_project2/controller/jobcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:05:25 +0530] "GET /frontend_project2/service/jobservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:05:25 +0530] "GET /frontend_project2/controller/blogpostcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:05:25 +0530] "GET /frontend_project2/service/blogpostservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:05:25 +0530] "GET /frontend_project2/controller/blogdetailcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:05:25 +0530] "GET /frontend_project2/service/friendservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:05:25 +0530] "GET /frontend_project2/controller/friendcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:05:25 +0530] "GET /frontend_project2/js/sockjs/sockjs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:05:25 +0530] "GET /frontend_project2/js/stomp/dist/stomp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:05:25 +0530] "GET /frontend_project2/controller/chatcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:05:26 +0530] "GET /frontend_project2/service/chatservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:05:26 +0530] "GET /frontend_project2/images/green-stars.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:05:27 +0530] "GET /backend_project2/getimage/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:05:27 +0530] "GET /frontend_project2/views/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:05:27 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:05:27 +0530] "GET /frontend_project2/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:05:38 +0530] "GET /frontend_project2/images/chat.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:05:38 +0530] "GET /frontend_project2/images/header_images.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:05:38 +0530] "GET /frontend_project2/images/njob.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:05:38 +0530] "GET /frontend_project2/images/Blog1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:05:38 +0530] "GET /frontend_project2/images/friend.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:05:38 +0530] "GET /frontend_project2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:05:38 +0530] "GET /frontend_project2/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:05:38 +0530] "GET /frontend_project2/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:05:38 +0530] "GET /frontend_project2/controller/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:05:38 +0530] "GET /frontend_project2/service/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:05:38 +0530] "GET /frontend_project2/controller/jobcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:05:38 +0530] "GET /frontend_project2/service/jobservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:05:38 +0530] "GET /frontend_project2/controller/blogpostcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:05:38 +0530] "GET /frontend_project2/controller/blogdetailcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:05:38 +0530] "GET /frontend_project2/service/blogpostservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:05:38 +0530] "GET /frontend_project2/service/friendservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:05:38 +0530] "GET /frontend_project2/controller/friendcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:05:38 +0530] "GET /frontend_project2/js/sockjs/sockjs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:05:38 +0530] "GET /frontend_project2/js/stomp/dist/stomp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:05:38 +0530] "GET /frontend_project2/controller/chatcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:05:38 +0530] "GET /frontend_project2/service/chatservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:05:54 +0530] "GET /backend_project2/getimage/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:05:54 +0530] "GET /backend_project2/getimage/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:05:54 +0530] "GET /frontend_project2/images/green-stars.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:06:17 +0530] "GET /frontend_project2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:06:17 +0530] "GET /frontend_project2/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:06:17 +0530] "GET /frontend_project2/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:06:17 +0530] "GET /frontend_project2/controller/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:06:17 +0530] "GET /frontend_project2/service/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:06:17 +0530] "GET /frontend_project2/controller/jobcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:06:17 +0530] "GET /frontend_project2/service/jobservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:06:17 +0530] "GET /frontend_project2/controller/blogpostcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:06:17 +0530] "GET /frontend_project2/service/blogpostservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:06:17 +0530] "GET /frontend_project2/controller/blogdetailcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:06:17 +0530] "GET /frontend_project2/service/friendservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:06:17 +0530] "GET /frontend_project2/controller/friendcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:06:17 +0530] "GET /frontend_project2/js/sockjs/sockjs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:06:17 +0530] "GET /frontend_project2/js/stomp/dist/stomp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:06:17 +0530] "GET /frontend_project2/controller/chatcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:06:17 +0530] "GET /frontend_project2/service/chatservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:06:19 +0530] "GET /backend_project2/getimage/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:06:19 +0530] "GET /backend_project2/getimage/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:06:21 +0530] "GET /frontend_project2/images/green-stars.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:06:22 +0530] "GET /frontend_project2/views/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:06:22 +0530] "GET /frontend_project2/images/header_images.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:06:22 +0530] "GET /frontend_project2/images/njob.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:06:22 +0530] "GET /frontend_project2/images/Blog1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:06:22 +0530] "GET /frontend_project2/images/friend.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:06:22 +0530] "GET /frontend_project2/images/chat.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:06:58 +0530] "GET /frontend_project2/views/registrationform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:06:59 +0530] "GET /frontend_project2/js/passwordConfirm.js?_=1500806179445 HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:06:59 +0530] "GET /frontend_project2/css/registrationform.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:06:59 +0530] "GET /frontend_project2/images/down1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:06:59 +0530] "GET /backend_project2/getuserdetails HTTP/1.1" 401 51
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:07:22 +0530] "GET /frontend_project2/views/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:07:22 +0530] "GET /frontend_project2/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:07:22 +0530] "GET /frontend_project2/images/av6.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:07:22 +0530] "GET /backend_project2/getuserdetails HTTP/1.1" 401 51
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:07:22 +0530] "GET /frontend_project2/images/oddo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:08:07 +0530] "GET /frontend_project2/js/passwordConfirm.js?_=1500806179446 HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:08:07 +0530] "GET /backend_project2/getuserdetails HTTP/1.1" 401 51
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:08:45 +0530] "GET /backend_project2/getuserdetails HTTP/1.1" 401 51
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:08:57 +0530] "POST /backend_project2/login HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:08:58 +0530] "GET /backend_project2/getimage/Krishna HTTP/1.1" 200 32796
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:10:05 +0530] "GET /frontend_project2/views/myprofile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:10:05 +0530] "GET /backend_project2/getimage/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:10:05 +0530] "GET /backend_project2/getuserdetails HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:11 +0530] "GET /frontend_project2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:11 +0530] "GET /frontend_project2/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:11 +0530] "GET /frontend_project2/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:11 +0530] "GET /frontend_project2/controller/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:11 +0530] "GET /frontend_project2/service/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:11 +0530] "GET /frontend_project2/controller/jobcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:11 +0530] "GET /frontend_project2/service/jobservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:11 +0530] "GET /frontend_project2/controller/blogpostcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:11 +0530] "GET /frontend_project2/service/blogpostservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:11 +0530] "GET /frontend_project2/controller/blogdetailcontroller.js HTTP/1.1" 304 -
